member_id,date,country,gender,ip_address,amount,vip,product_id,card_type,serial,zone
102468,2012-09-18,ID,Female,86.118.89.64,$9308.53,false,330124,jcb,690-11-9719,zone1
100342,2014-05-27,ID,Male,15.188.217.107,$3826.37,true,330158,china-unionpay,632-99-3245,zone7
102209,2015-02-05,NG,Female,212.54.193.145,$6420.12,true,330166,americanexpress,267-12-3321,zone5
100761,2014-08-17,ID,Female,81.89.17.192,$6557.65,true,330121,switch,142-31-6276,zone5
100292,2014-08-21,RU,Male,95.209.16.148,$5005.02,true,330112,mastercard,969-75-9921,zone3
100588,2013-11-04,PH,Female,98.207.170.142,$4455.74,false,330176,solo,155-21-1330,zone4
100320,2011-11-17,ID,Female,121.115.239.200,$8955.05,true,330128,americanexpress,433-18-1373,zone4
101549,2008-07-29,PH,Female,250.217.39.86,$465.06,true,330107,diners-club-enroute,954-38-3464,zone6
101188,2013-04-07,PL,Male,66.187.81.233,$8605.13,true,330116,jcb,254-95-3435,zone7
101236,2012-05-16,CN,Male,78.14.1.62,$5909.08,true,330090,mastercard,732-20-1897,zone1
100385,2012-07-31,CN,Male,222.78.165.75,$7244.27,true,330165,jcb,302-64-9058,zone6
100651,2010-03-16,AL,Female,124.185.112.75,$7033.88,true,330143,jcb,943-65-3908,zone5
101807,2011-03-14,HR,Female,91.166.233.250,$565.01,false,330095,maestro,709-68-0942,zone5
100485,2012-12-26,CN,Male,129.216.208.187,$6973.17,true,330175,jcb,828-76-7795,zone6
100703,2013-04-28,FR,Female,8.188.123.61,$1735.25,true,330111,jcb,662-09-2774,zone7
101315,2010-01-17,MA,Female,241.8.248.74,$8003.87,true,330110,jcb,203-22-8735,zone6
101381,2012-03-07,ID,Male,151.93.148.53,$2663.10,false,330151,mastercard,502-44-4353,zone5
101590,2011-10-24,PT,Male,38.230.204.40,$6000.82,false,330078,maestro,226-65-7007,zone6
100555,2008-01-18,SE,Male,8.78.244.186,$8676.42,false,330139,jcb,127-21-3639,zone1
101064,2010-09-17,ID,Female,32.251.70.73,$9056.22,false,330147,mastercard,661-04-2275,zone7
101630,2009-07-08,NI,Female,4.52.224.54,$786.23,false,330094,switch,878-50-4822,zone1
102252,2012-10-19,HK,Male,50.246.41.152,$9565.70,false,330157,visa,849-01-3522,zone5
100532,2016-07-25,FR,Male,132.47.44.115,$679.62,true,330163,visa,891-56-6296,zone1
101775,2014-05-24,CN,Female,115.192.238.183,$4278.75,true,330160,jcb,531-05-0425,zone2
101370,2009-09-18,CZ,Male,209.208.90.48,$1416.02,true,330125,jcb,942-19-2411,zone1
101254,2015-06-04,RU,Female,45.58.134.49,$9228.12,true,330135,mastercard,537-84-7371,zone5
101442,2016-03-22,SE,Male,96.11.185.14,$2420.51,false,330081,visa-electron,332-37-2346,zone2
100988,2015-06-11,ID,Female,140.202.67.119,$6654.65,true,330090,jcb,595-38-2697,zone6
100704,2008-09-14,CN,Female,70.222.63.100,$4705.36,true,330098,china-unionpay,365-63-4870,zone4
100597,2013-04-20,BR,Female,103.102.74.209,$880.51,true,330124,jcb,332-52-2839,zone1
100839,2014-01-15,UA,Male,153.218.159.66,$9557.50,false,330152,jcb,466-02-0531,zone7
100728,2015-08-05,ID,Female,242.199.208.149,$5106.91,false,330084,diners-club-carte-blanche,850-25-1208,zone4
100304,2010-04-25,ID,Female,175.199.32.1,$9060.60,false,330175,china-unionpay,512-77-3980,zone1
100271,2008-04-16,MU,Female,149.228.151.110,$6210.99,true,330172,jcb,595-19-0399,zone4
100572,2014-03-22,MU,Female,190.184.198.99,$6544.73,true,330160,switch,651-40-3042,zone5
102441,2016-06-05,CA,Male,127.31.11.88,$5975.45,false,330084,diners-club-carte-blanche,476-81-0041,zone2
101033,2009-08-08,CN,Male,248.155.45.77,$5963.62,true,330162,maestro,556-98-2259,zone2
100367,2010-01-24,RU,Male,188.85.18.182,$2524.69,true,330165,jcb,770-35-0106,zone1
100102,2015-08-31,CN,Female,254.58.99.127,$7518.61,true,330169,jcb,238-25-3524,zone6
100055,2010-12-01,SE,Female,90.137.98.171,$5059.80,false,330092,jcb,700-69-9282,zone5
102486,2015-08-23,CN,Female,131.124.131.97,$7562.52,false,330137,diners-club-us-ca,355-85-3695,zone3
101742,2010-09-12,CO,Female,76.152.22.152,$3981.41,false,330149,maestro,257-16-8591,zone2
100395,2010-12-05,GR,Male,135.4.74.123,$2752.29,false,330160,visa-electron,188-00-0579,zone7
100668,2015-07-28,PY,Female,146.187.24.129,$9860.10,true,330144,jcb,481-74-1043,zone4
100956,2016-05-03,CN,Female,123.155.231.248,$2077.64,false,330117,jcb,514-14-7780,zone3
100763,2009-11-03,PH,Female,212.5.19.116,$1835.11,false,330166,jcb,814-48-3726,zone6
100290,2015-03-22,CN,Female,91.95.103.184,$7456.99,false,330172,laser,919-78-1067,zone5
102058,2010-11-27,CN,Male,81.167.21.252,$1339.61,false,330143,jcb,733-91-6456,zone2
100372,2013-02-02,ID,Male,113.88.116.41,$9025.88,true,330109,maestro,955-35-5649,zone5
100373,2010-05-23,ID,Female,75.91.36.3,$4382.79,false,330107,diners-club-enroute,290-17-7674,zone7
100930,2011-08-22,CN,Female,115.150.31.208,$772.51,true,330121,jcb,977-64-6451,zone5
101611,2009-07-31,AL,Female,252.180.195.224,$2609.03,false,330144,jcb,982-47-2690,zone5
102127,2016-08-19,AR,Female,12.83.11.91,$5786.91,true,330098,diners-club-enroute,636-34-7514,zone6
102178,2009-04-04,SE,Female,77.232.143.96,$1707.11,false,330151,diners-club-enroute,248-71-4019,zone1
101064,2010-05-31,TH,Male,43.224.8.33,$8730.34,false,330119,diners-club-carte-blanche,260-54-7804,zone4
100872,2010-04-13,ID,Male,176.4.251.155,$8936.48,false,330113,switch,536-89-1735,zone6
101316,2008-12-10,ID,Female,129.25.5.88,$3557.28,true,330163,jcb,279-17-4047,zone1
101280,2012-06-21,ID,Female,23.58.237.110,$4755.47,true,330078,jcb,824-54-2000,zone3
100243,2014-08-01,AR,Male,146.136.117.190,$4116.90,true,330109,diners-club-enroute,516-44-8996,zone5
101133,2009-06-05,TZ,Female,86.252.111.119,$2079.28,true,330154,diners-club-enroute,824-08-8745,zone1
100653,2016-03-12,RU,Male,91.0.69.76,$1829.71,false,330108,jcb,608-49-7804,zone2
